artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
105554,"Ist —","BE 01/2, 126","Hilprecht1896BE1/2; Lieberman1980AJA84","primary; citation","126; ","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.05.00.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,"BDTNS; eBL","000039; Ni.unn.14"," ",0,0,,,0,0,0,0,,
132415,"Ist L 03160","ITT 2, 03160","Genouillac1910-1911ITT2; Hilprecht1896BE1/2; Lafont1996TCTI2","primary; citation; history","3160; 124; 3160","2x6 col.; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šulgi.--.06.--,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,"period uncertain",0,,0,,0,,BDTNS,043593," ",1,0,,,0,0,0,0,,
215545,"Ist EŞEM 01027","RIME 2.01.04.24, ex. 01","Frayne1993RIME2; Hilprecht1896BE1/2; Scheil1900MDP2","primary; history; history","01.04.24, ex. 01; 120; p. 55","; ; ","uncertain (mod. Pir Huseyin)","Old Akkadian (ca. 2340-2200 BC)",Naramsin.00.00.00,"Eski Şark Eserleri Müzesi, Arkeoloji Müzeleri, Istanbul, Turkey","Official or display",stone,stela,,,,,,,,,,,,fragment,,,,,Q005221,,,,,stele,"RIME 2: The stele fragment was found by the well of a country home just east of Pir Hiiseyn. Naab (in Unger, Naram-Sin p. 33) indicates that it originally came from the vicinity of the village of Ambar-Chai. Borker-Klahn (Bildstelen p. 133) gives an origi",0,,0,stele,0,,0,,ARMEP,P215545,"witness ",0,,,,0,0,0,0,,
216441,"CBS 08843 + CBS 08890","RIME 2.01.02.11, ex. 04","Frayne1993RIME2; Hilprecht1896BE1/2","primary; history","01.02.11, ex. 04; 005","; ",,"Old Akkadian (ca. 2340-2200 BC)",Rimush.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",stone,vase,,,,,,,,,,,,,,,,,Q000837,,,,"P216441 leadP216441 lead",vase,,0,"Pre-Classical Sargonic",0,vase,0,,0,,"Penn; Penn; eBL; eBL; ARMEP","583698; 583699; CBS.8843; CBS.8890; P216441","witness ",0,,,,0,0,1,0,,
216481,"Ist EŞEM 01261 (cast: CBS 09793 ?)","RIME 2.01.02.11, ex. 44","Frayne1993RIME2; Gelb1990FAOS7; Hilprecht1896BE1/2; Hirsch1963Agade","primary; history; history; history","01.02.11, ex. 44; p.66; 062; p. 10 a1","; ; ; ",,"Old Akkadian (ca. 2340-2200 BC)",Rimush.00.00.00,"Eski Şark Eserleri Müzesi, Arkeoloji Müzeleri, Istanbul, Turkey; Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",stone,vase,,,,,,,,,,,,,,,,,Q000837,,,,,vase,,0,"Pre-Classical Sargonic",0,vase,0,,0,,"eBL; ARMEP","CBS.9793; P216481","witness ",0,,,,0,0,0,0,,
216511,"CBS 09287","RIME 2.01.02.20, ex. 25","Frayne1993RIME2; Hilprecht1896BE1/2","primary; history","01.02.20, ex. 25; 102","; ",,"Old Akkadian (ca. 2340-2200 BC)",Rimush.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",marble,bowl,,,,,,,,,,,,fragment,Sumerian,,,,Q000843,,,,,bowl,,0,"Pre-Classical Sargonic",0,bowl,0,,0,,"Penn; eBL; ARMEP","583821; CBS.9287; P216511","witness ",0,0,,,0,0,0,0,,
216552,"CBS 09918","RIME 2.01.03.03, ex. 01","Frayne1993RIME2; Hilprecht1896BE1/2","primary; history","01.03.03, ex. 01; 118","; ","Nippur (mod. Nuffar)","Old Akkadian (ca. 2340-2200 BC)",Manishtusu.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",quartz-dolerite,vase,,,,,,,,,,,,fragment,,,,,Q005196,,,,,vase,,0,"Pre-Classical Sargonic",0,vase,0,,0,,"Penn; eBL; ARMEP","584083; CBS.9918; P216552","witness ",0,,,,0,0,0,0,,
216580,"CBS 08755","RIME 2.01.04.15, ex. 03","Frayne1993RIME2; Hilprecht1896BE1/2","primary; history","01.04.15, ex. 03; 004","; ",,"Old Akkadian (ca. 2340-2200 BC)",Naramsin.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",clay,"brick stamp",,,,,,,,,,,,,,,,,Q000850,,,,,"brick stamp",,0,,0,"brick stamp",0,,0,,"Penn; eBL; ARMEP","321693; CBS.8755; P216580","witness ",0,,,,0,0,0,0,,
216834,"CBS 09330","RIME 2.06.01.2001, ex. 01","Frayne1993RIME2; Hilprecht1896BE1/2","primary; history","06.01.2001, ex. 01; 113","; ",,"Old Akkadian (ca. 2340-2200 BC)",Uruna-badbi.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",calcite,vase,,,,,,,,,,,,fragment,,,,,Q001436,,,,,vase,,0,,0,vase,0,,0,,"Penn; eBL; ARMEP","583842; CBS.9330; P216834","witness votive inscription",0,,,,0,0,0,0,,
222537,"CBS 14568 = CBS 09328 + CBS 09463 + CBS 09669 + CBS 09672 + CBS 09690 + CBS 09919 + CBS 09920 + CBS 09992 + CBS 10122","RIME 1.09.05.18, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Legrain1926PBS15; Sollberger1956CIRPL; Steible1982FAOS5/1","primary; history; history; history; history","09.05.18, ex. 01; 115-117; 01; Ent 32; Ent 32","; ; ; ; ","Girsu (mod. Tello)","ED IIIb (ca. 2500-2340 BC)",Enmetena.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",stone,vase,,,,,,,,,,,,,Sumerian,,,,Q001105,,,,,vase,,0,,0,vase,0,,0,,"Penn; Penn; Penn; Penn; Penn; Penn; Penn; Penn; Penn; Penn; eBL; eBL; ARMEP","195510; 31230; 588335; 235233; 24724; 311427; 234315; 34097; 34098; 59009; CBS.14568; CBS.9328; P222537","witness ",0,0,,,0,0,0,0,,
222740,"BM 129401 (ex. CBS 09572)","RIME 1.07.42.01, ex. 01","Cooper1984Iraq46; Frayne2008RIME1; Goetze1961KishKings; Hilprecht1896BE1/2; Sollberger1971IRSA; Steibl1982FAOS5/2; Such-Gutiérrez2010Königsinschriften; Thureau-Dangin1907SAKI ","citation; primary; history; history; history; history; citation; history","92–93; 07.42.01, ex. 01; p. 107f.  ; 108; p. 39: IA2a; Uhub 1; p. 152-156; 160 VIII, 1 (edition)","(not part of BE 01/2, 109 = P247657); ; (edition); ; ; ; as BM 129401 ?; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Uhub.00.00.00,"British Museum, London, UK","Official or display",stone,Vessel,133.0,17.0,74.0,,,,,,,,,fragment,Sumerian,,,,Q001243,,,"1939-06-12, 0001",,vessel,,0,,0,vessel,0,,0,,"ARMEP; BM","P222740; W_1939-0612-1","witness ",0,0,,,0,0,0,0,,
222747,"CBS 09616 + CBS 09931 (+) CBS 09622","RIME 1.14.16.01, ex. 01-02","Frayne2008RIME1; Hilprecht1896BE1/2; Jacobsen1957ZA52; Steibl1982FAOS5/2; Thureau-Dangin1907SAKI ","primary; history; history; history; history","14.16.01, ex. 01-02; 093 (copy); (NF 18), p. 125, fn. 76 [1957]; Urzage 1, A (part of P247732); 160 VIII, 4 (edition)","; ; ; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Urzage.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",calcite,vase,,,,,,,,,,,,fragment,Sumerian,,,,Q001250,,,,,vase,,0,,0,vase,0,,0,,"Penn; Penn; Penn; eBL; eBL; ARMEP","584366; 584368; 584367; CBS.9616; CBS.9622; P222747","witness ",0,0,,,0,0,0,0,,
222754,"CBS 09621 + CBS 09617","RIME 1.11.02.01, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2; Thureau-Dangin1907SAKI ","primary; history; history; history","11.02.01, ex. 01; 096 (copy); Urenlil 1; 158 VII, 6 (edition)","; ; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Ur-Enlil.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",limestone,bowl,,,,,,,,,,,,,Sumerian,,,,Q001257,,,,"P222754 leadP222754 lead",bowl,,0,,0,bowl,0,,0,,"Penn; Penn; eBL; ARMEP","584370; 584369; CBS.9621; P222754","witness votive inscription",0,0,,,0,0,1,0,,
222755,"CBS 09932","RIME 1.11.02.02, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2; Thureau-Dangin1907SAKI ","primary; history; history; history","11.02.02, ex. 01; 097 (copy); Urenlil 2; 158 VII, 7 (edition)","; ; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Ur-Enlil.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",calcite,Vessel,,,,,,,,,,,,,Sumerian,,,,Q001258,,,,,vessel,,0,,0,vessel,0,,0,,"Penn; eBL; ARMEP","584091; CBS.9932; P222755","witness ",0,0,,,0,0,0,0,,
222756,"Ist EŞEM 01944","RIME 1.11.add04.01, ex. 01","Boese1971Weihplatten; Contenau1927Manuel1; Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2; Thureau-Dangin1907SAKI ; Unger1926SuAK; Zervos1935L'art","history; history; primary; history; history; history; history; history","pl. XVIII N 8 (transliteration); fig. 92 (copy), fig. 338 (photo); 11.add04.01, ex. 01; 094; AnNip 01; 158 VII, 1 (edition); 77, no. 10; p. 92-93 ","; ; ; ; ; ; ; (photo)","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",00.00.00.00,"Eski Şark Eserleri Müzesi, Arkeoloji Müzeleri, Istanbul, Turkey","Official or display",clay,plaque,,,,,,,,,,,,,Sumerian,,,,,,,,,plaque,,0,,0,plaque,0,,0,,ARMEP,P222756,"witness ",0,0,,,0,0,0,0,,
222757,"CBS 09699 + CBS 09952","RIME 1.11.add05.01, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2; Thureau-Dangin1907SAKI ","primary; history; history; history","11.add05.01, ex. 01; 098; AnNip 02; 158 VII, 2 (edition)","; ; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",00.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",steatite,vase,,,,,,,,,,,,fragment,Sumerian,,,,,,,,"P222757 leadP222757 lead",vase,,0,,0,vase,0,,0,,"Penn; Penn; eBL; ARMEP","584389; 584390; CBS.9699; P222757","witness ",0,0,,,0,0,1,0,,
222758,"CBS 09302 + CBS 09600 ","RIME 1.11.add06.01, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2; Thureau-Dangin1907SAKI ","primary; history; history; history","11.add06.01, ex. 01; 111; AnNip 03; 158 VII, 3 (edition)","; ; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",00.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",steatite,Vessel,,,,,,,,,,,,fragment,Sumerian,,,,,,,,"P222758 leadP222758 lead",vessel,,0,,0,vessel,0,,0,,"Penn; Penn; eBL; ARMEP","584316; 584317; CBS.9302; P222758","witness ",0,0,,,0,0,1,0,,
222759,"CBS 09629 + CBS 09682","RIME 1.11.add07.01, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2; Thureau-Dangin1907SAKI ","primary; history; history; history","11.add07.01, ex. 01; 106; AnNip 04; 158 VII, 4 (edition)","; ; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",00.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",limestone,Vessel,,,,,,,,,,,,fragment,Sumerian,,,,,,,,,vessel,,0,,0,vessel,0,,0,,"Penn; Penn; eBL; ARMEP","584371; 584372; CBS.9629; P222759","witness votive inscription",0,0,,,0,0,0,0,,
222760,"CBS 09652","RIME 1.11.add08.01, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2; Thureau-Dangin1907SAKI ","primary; history; history; history","11.add08.01, ex. 01; 095; AnNip 05; 158 VII, 5 (edition)","; ; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",00.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",limestone,Vessel,,,,,,,,,,,,fragment,Sumerian,,,,,,,,,vessel,,0,,0,vessel,0,,0,,"Penn; eBL; ARMEP","583928; CBS.9652; P222760","witness ",0,0,,,0,0,0,0,,
222761,"CBS 09329","RIME 1.11.add09.01, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2; Thureau-Dangin1907SAKI ","primary; history; history; history","11.add09.01, ex. 01; 112; AnNip 06; 158 VII, 8 (edition)","; ; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",00.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",limestone,Vessel,,,,,,,,,,,,fragment,Sumerian,,,,,,,,,vessel,,0,,0,vessel,0,,0,,"Penn; eBL; ARMEP","521659; CBS.9329; P222761","witness votive inscription",0,0,,,0,0,0,0,,
222762,"CBS 09655","RIME 1.11.add10.01, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2; Thureau-Dangin1907SAKI ","primary; history; history; history","11.add10.01, ex. 01; 114; AnNip 07; 158 VII, 10 (edition)","; ; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",00.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",limestone,Vessel,,,,,,,,,,,,fragment,Sumerian,,,,,,,,,vessel,,0,,0,vessel,0,,0,,"Penn; eBL; ARMEP","583931; CBS.9655; P222762","witness ",0,0,,,0,0,0,0,,
222763,"CBS 09953","RIME 1.11.add11.01, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","11.add11.01, ex. 01; 099; AnNip 08","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",00.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",limestone,Vessel,,,,,,,,,,,,fragment,Sumerian,,,,,,,,,vessel,,0,,0,vessel,0,,0,,"Penn; eBL; ARMEP","584109; CBS.9953; P222763","witness ",0,0,,,0,0,0,0,,
222870,"CBS 09930","RIME 1.14.17.01, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","14.17.01, ex. 01; 090; Enshakushanna 1, A","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Enshakushanna.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",calcite,Vessel,,,,,,,,,,,,fragment,Sumerian,,,,Q001362,,,,,vessel,,0,,0,vessel,0,,0,,"Penn; eBL; ARMEP","584090; CBS.9930; P222870","witness ",0,0,,,0,0,0,0,,
222873,"CBS 09924 + CBS 09954","RIME 1.14.17.01, ex. 04","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","14.17.01, ex. 04; 103; Enshakushanna 1, D","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Enshakushanna.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",sandstone,bowl,,,,,,,,,,,,fragment,Sumerian,,,,Q001362,,,,,bowl,,0,,0,bowl,0,,0,,"Penn; Penn; eBL; ARMEP","584419; 584420; CBS.9924; P222873","witness ",0,0,,,0,0,0,0,,
222874,"CBS 09951","RIME 1.14.17.01, ex. 05","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","14.17.01, ex. 05; 104; Enshakushanna 1, E","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Enshakushanna.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",tuff,bowl,,,,,,,,,,,,fragment,Sumerian,,,,Q001362,,,,,bowl,,0,,0,bowl,0,,0,,"Penn; eBL; ARMEP","584108; CBS.9951; P222874","witness ",0,0,,,0,0,0,0,,
222876,"CBS 09614","RIME 1.14.17.01, ex. 07","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","14.17.01, ex. 07; 102; Enshakushanna 1, G","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Enshakushanna.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",calcite,bowl,,,,,,,,,,,,fragment,Sumerian,,,,Q001362,,,,,"bowl, conical",,0,,0,"bowl, conical",0,,0,,"Penn; eBL; ARMEP","583902; CBS.9614; P222876","witness ",0,0,,,0,0,0,0,,
222878,"CBS 09574 + CBS 09575 + CBS 09579","RIME 1.14.17.01, ex. 09","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","14.17.01, ex. 09; 110; Enshakushanna 1, J","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Enshakushanna.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",sandstone,bowl,,,,,,,,,,,,fragment,Sumerian,,,,Q001362,,,,"P222878 leadP222878 lead",bowl,,0,,0,bowl,0,,0,,"Penn; Penn; Penn; eBL; ARMEP","584347; 584348; 584349; CBS.9574; P222878","witness votive inscription",0,0,,,0,0,1,0,,
222879,"CBS 09590 + CBS 09963 + CBS 09998","RIME 1.14.17.02, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","14.17.02, ex. 01; 091; Enshakushanna 2, A","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Enshakushanna.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",stone,bowl,,,,,,,,,,,,fragment,Sumerian,,,,Q001363,,,,"P222879 leadP222879 lead",bowl,,0,,0,bowl,0,,0,,"Penn; Penn; Penn; eBL; ARMEP","584354; 584355; 584356; CBS.9590; P222879","witness ",0,0,,,0,0,1,0,,
222880,"CBS 09618","RIME 1.14.17.02, ex. 02","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","14.17.02, ex. 02; 092; Enshakushanna 2, B","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Enshakushanna.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",calcite,bowl,,,,,,,,,,,,fragment,Sumerian,,,,Q001363,,,,,bowl,,0,,0,bowl,0,,0,,"Penn; eBL; ARMEP","583904; CBS.9618; P222880","witness votive inscription",0,0,,,0,0,0,0,,
222882,"CBS 09623","RIME 1.14.17.add05, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","14.17.add05, ex. 01; 105; Enshakushanna 3","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Enshakushanna.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",tuff,Vessel,,,,,,,,,,,,fragment,Sumerian,,,,Q004864,,,,,vessel,,0,,0,vessel,0,,0,,"Penn; eBL; ARMEP","583907; CBS.9623; P222882","witness ",0,0,,,0,0,0,0,,
222886,"CBS 09581 + CBS 09643","RIME 1.14.14.01, ex. 04","Cooper1980JCS32; Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","history; primary; history; history","116 mistakenly pub. as CBS 9463; 14.14.01, ex. 04; 086; 299-301 Lugalkiginnedudu 2","; ; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Lugalkigenedudu.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",calcite,Vessel,,,,,,,,,,,,,Sumerian,,,,Q001368,,,,"P222886 leadP222886 lead",vessel,,0,,0,vessel,0,,0,,"Penn; Penn; eBL; ARMEP","584350; 584351; CBS.9581; P222886","witness ",0,0,,,0,0,1,0,,
222892,"CBS 09900","RIME 1.14.14.04, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","14.14.04, ex. 01; 088; Lugalkiginnedudu 7","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Lugalkigenedudu.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",calcite,Vessel,,,,,,,,,,,,fragment,Sumerian,,,,Q001373,,,,,vessel,,0,,0,vessel,0,,0,,"Penn; eBL; ARMEP","584074; CBS.9900; P222892","witness ",0,0,,,0,0,0,0,,
222893,"CBS 09604","RIME 1.14.15.01, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","14.15.01, ex. 01; 086b; Lugalkisalsi 1","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Lugalkisalsi.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",stone,Vessel,,,,,,,,,,,,fragment,Sumerian,,,,Q001374,,,,,vessel,,0,,0,vessel,0,,0,,"Penn; eBL; ARMEP","583897; CBS.9604; P222893","witness votive inscription",0,0,,,0,0,0,0,,
222896,"CBS 09648a + b","RIME 1.14.15.01, ex. 11","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","14.15.01, ex. 11; 089; Lugalkisalsi 4 ?","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",Lugalkisalsi.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",calcite,Vessel,,,,,,,,,,,,fragment,Sumerian,,,,Q001374,,,,"P222896 leadP222896 lead",vessel,,0,,0,vessel,0,,0,,"Penn; Penn; eBL; eBL; ARMEP","584375; 584376; CBS.9648.A; CBS.9648.B; P222896","witness ",0,0,,,0,0,1,0,,
222911,"CBS 09613","RIME 1.14.add23.02, ex. 01","Frayne2008RIME1; Hilprecht1896BE1/2; Steibl1982FAOS5/2","primary; history; history","14.add23.02, ex. 01; pl. XVIII; AnUruk 02","; ; ","Nippur (mod. Nuffar)","ED IIIb (ca. 2500-2340 BC)",00.00.00.00,"Penn Museum, Philadelphia, Pennsylvania, USA","Official or display",stone,Vessel,,,,,,,,,,,,fragment,Sumerian,,,,,,,,,vessel,,0,,0,vessel,0,,0,,"Penn; eBL; ARMEP","583901; CBS.9613; P222911","witness votive inscription",0,0,,,0,0,0,0,,
225530,"IM 058724","RIME 4.02.14.x2005, ex. 02","Frayne1990RIME4; Hilprecht1896BE1/2","primary; history","02.14.x2005, ex. 02; 128 (unclear if this is IM 058724)","; ","Nippur (mod. Nuffar)","Early Old Babylonian (ca. 2000-1900 BC)",Rim-Sin.00.00.00,"National Museum of Iraq, Baghdad, Iraq","Official or display",clay,cone,,,,,,,,,,,,,,,,,Q002170,,,,,,,0,,0,,0,,0,,ARMEP,P225530,"witness ",0,,,,0,0,0,0,,
226553,"Ist EŞEM 08926","RIME 3/2.01.01.24, ex. 21","Frayne1997RIME3/2; Hilprecht1896BE1/2","primary; history","01.01.24, ex. 21; 122 (unclear if this EŞEM exemplar)","; ","Nippur (mod. Nuffar)","Ur III (ca. 2100-2000 BC)",Ur-Namma.00.00.00,"Eski Şark Eserleri Müzesi, Arkeoloji Müzeleri, Istanbul, Turkey","Official or display",clay,brick,,,,,,,,,,,,,Sumerian,,,,Q000949,,,,,,,0,,0,,0,,0,,ARMEP,P226553,"witness ",0,0,,,0,0,0,0,,
226571,"Ist EŞEM —","RIME 3/2.01.01.25, ex. 01","Frayne1997RIME3/2; Hilprecht1896BE1/2","primary; history","01.01.25, ex. 01; 121","; ",,"Ur III (ca. 2100-2000 BC)",Ur-Namma.00.00.00,"Eski Şark Eserleri Müzesi, Arkeoloji Müzeleri, Istanbul, Turkey","Official or display",stone,socket,,,,,,,,,,,,,Sumerian,,,,Q000950,,,,,"door socket",,0,,0,"door socket",0,,0,,ARMEP,P226571,"witness ",0,0,,,0,0,0,0,,
