artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
135572,"VAT 02200","TUT 001","Maekawa1985BSA2; Pettinato1974TuT; Pettinato1974TuT; Pettinato1985SVS1/1; Powell1985ZA75; Reisner1901TUT","history; citation; collation; history; citation; primary","115 table; p. 200; p. 200; 1; 008ff.; 001","; ; ; ; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000349," ",0,0,,,0,0,0,0,,
135573,"VAT 02201","TUT 002","Pettinato1985SVS1/1; Reisner1901TUT; Wilcke1999BBVO18","history; primary; history","2; 002; 309","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.35.04.00, Šulgi.36.01.00, Šulgi.36.06.00, Šulgi.36.08.00, Šulgi.36.09.00, Šulgi.36.10.00","Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000350," ",0,0,,,0,0,0,0,,
135574,"VAT 02203","TUT 003","Pettinato1985SVS1/1; Reisner1901TUT","history; primary","3; 003","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.36.01.00, Šulgi.36.05.00, Šulgi.36.06.00, Šulgi.36.07.00, Šulgi.36.08.00, Šulgi.36.09.00, Šulgi.36.10.00, Šulgi.36.11.00, Šulgi.36.12.00","Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000351," ",0,0,,,0,0,0,0,,
135575,"VAT 02206","TUT 004","Pettinato1985SVS1/1; Reisner1901TUT","history; primary","4; 004","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.01.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000352," ",0,0,,,0,0,0,0,,
135576,"VAT 02202","TUT 005","Maekawa1984BSA1; Maekawa1985BSA2; Maekawa1993agricultural-9; Maekawa1999temples; Pettinato1974TuT; Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","citation; history; citation; history; citation; collation; history; primary","074, 081; 116 table; p. 111; p. 64-72. no. 7; p. 200; p. 200; 5; 005","; ; ; ; ; ; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.47.00.00 (us2 year)","Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000353," ",0,0,,,0,0,0,0,,
135577,"VAT 02204","TUT 006","Pettinato1969rundenTafeln; Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","history; collation; history; primary","p. 264 40; p. 200; 6; 006","; ; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000354," ",0,0,,,0,0,0,0,,
135578,"VAT 02205","TUT 007","Pettinato1985SVS1/1; Reisner1901TUT; sec21013","history; primary; history","7; 007; ","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.07.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000355," ",0,0,,,0,0,0,0,,
135579,"VAT 02208","TUT 008","Pettinato1969rundenTafeln; Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","history; collation; history; primary","p. 274 42; p. 200; 8; 008","; ; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000356," ",0,0,,,0,0,0,0,,
135580,"VAT 02213","TUT 009","Pettinato1985SVS1/1; Reisner1901TUT","history; primary","9; 009","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000357," ",0,0,,,0,0,0,0,,
135581,"VAT 02212","TUT 010","Pettinato1985SVS1/1; Reisner1901TUT","history; primary","10; 010","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000358," ",0,0,,,0,0,0,0,,
135582,"VAT 02214","TUT 011","Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","collation; history; primary","p. 201; 11; 011","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000359," ",0,0,,,0,0,0,0,,
135583,"VAT 02210","TUT 012","Maekawa1999temples; Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","history; collation; history; primary","p. 75 n. 28; p. 201; 12; 012","(Shulgi 31 ?, comparing to BM 109098); ; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000360," ",0,0,,,0,0,0,0,,
135584,"VAT 02211","TUT 013","Pettinato1985SVS1/1; Reisner1901TUT","history; primary","13; 013","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.41.00.00 (us2-us2 year)","Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000361," ",0,0,,,0,0,0,0,,
135585,"VAT 02216","TUT 014","Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","collation; history; primary","p. 201; 14; 014","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000362," ",0,0,,,0,0,0,0,,
135586,"VAT 02219","TUT 015","Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT; sec21028","collation; history; primary; history","p. 201; 15; 015; ","; ; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šulgi.43.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000363," ",0,0,,,0,0,0,0,,
135587,"VAT 02215","TUT 016","Maekawa1977rent; Pettinato1974TuT; Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","citation; citation; collation; history; primary","p. 16; p. 201; p. 201; 16; 016","; ; ; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000364," ",0,0,,,0,0,0,0,,
135588,"VAT 02209","TUT 017","Maekawa1984BSA1; Pettinato1974TuT; Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","citation; citation; collation; history; primary","080 ; p. 201; p. 201; 17; 017","(12 gaba-tab = 12 absin per ninda); ; ; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Amar-Suen.02.08.15, Amar-Suen.02.09.15","Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000365," ",0,0,,,0,0,0,0,,
135589,"VAT 02224","TUT 018","Pettinato1969rundenTafeln; Pettinato1985SVS1/1; Reisner1901TUT","history; history; primary","p. 280 43; 18; 018","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","--.--.00.00 (us2 year)","Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000366," ",0,0,,,0,0,0,0,,
135590,"VAT 02217","TUT 019","Pettinato1985SVS1/1; Reisner1901TUT","history; primary","19; 019","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",00.00.02.23,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000367," ",0,0,,,0,0,0,0,,
135591,"VAT 02218","TUT 020","Pettinato1985SVS1/1; Reisner1901TUT","history; primary","20; 020","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000368," ",0,0,,,0,0,0,0,,
135592,"VAT 02235","TUT 021","Pettinato1985SVS1/1; Reisner1901TUT","history; primary","21; 021","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000369," ",0,0,,,0,0,0,0,,
135593,"VAT 02236","TUT 022","Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","collation; history; primary","p. 201; 22; 022","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Ibbi-Suen.03.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,"SH25 SH32 SH44",BDTNS,000370," ",0,0,,,0,0,0,0,,
135594,"VAT 02237","TUT 023","Pettinato1985SVS1/1; Reisner1901TUT","history; primary","23; 023","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",00.00.06.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000371," ",0,0,,,0,0,0,0,,
135595,"VAT 02238","TUT 024","Pettinato1985SVS1/1; Reisner1901TUT","history; primary","24; 024","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šulgi.46.06.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000372," ",0,0,,,0,0,0,0,,
135596,"VAT 02225","TUT 025","Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","collation; history; primary","p. 201; 25; 025","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000373," ",0,0,,,0,0,0,0,,
135597,"VAT 02227","TUT 026","Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","collation; history; primary","p. 201; 26; 026","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.41.00.00 (us2-us2 year)","Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000374," ",0,0,,,0,0,0,0,,
135598,"VAT 02266","TUT 027","Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","collation; history; primary","p. 201; 27; 027","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Amar-Suen.02.00.00, Amar-Suen.03.00.00","Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000375," ",0,0,,,0,0,0,0,,
135599,"VAT 02223","TUT 028","Pettinato1974TuT; Pettinato1985SVS1/1; Reisner1901TUT","collation; history; primary","p. 201; 28; 028","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000376," ",0,0,,,0,0,0,0,,
135600,"VAT 02228","TUT 029","Pettinato1985SVS1/1; Reisner1901TUT","history; primary","29; 029","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.40.10.00 (us2 year), Šulgi.42.04.00 ","Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000377," ",0,0,,,0,0,0,0,,
135601,"VAT 02229","TUT 030","Pettinato1985SVS1/1; Reisner1901TUT","history; primary","30; 030","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.05.00.00,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,000378," ",0,0,,,0,0,0,0,,
